date,value,source,units,fetched_at
2017-02,92.78676,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2017-03,92.51781,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2017-04,92.51781,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2017-05,92.60746,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2017-06,92.42816,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2017-07,92.33852,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2017-08,92.78676,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2017-09,93.32465,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2017-10,93.41431,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2017-11,93.41431,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2017-12,93.68325,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2018-01,94.3108,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2018-02,95.47623,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2018-03,94.40044,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2018-04,94.22115,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2018-05,94.04185,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2018-06,94.04185,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2018-07,94.3108,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2018-08,94.93834,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2018-09,95.56588,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2018-10,95.74518,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2018-11,95.38658,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2018-12,95.47623,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2019-01,95.92448,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
